iter	RMSE
0	28100.44469
1	27079.46241
2	26181.822
3	25108.65081
4	24114.14168
5	23225.02843
6	22162.61634
7	21713.08822
8	20877.77316
9	19874.98347
10	18819.55662
11	18051.6693
12	17597.67251
13	16928.16931
14	16284.66901
15	15920.43082
16	15591.66379
17	15067.86073
18	14823.41855
19	14598.95856
20	13940.36227
21	13757.37085
22	13536.5916
23	13336.50364
24	13142.83265
25	12958.34609
26	12703.69051
27	12518.75998
28	12349.31943
29	11939.40931
30	11800.22554
31	11652.56358
32	11388.89017
33	11161.36681
34	11009.5783
35	10576.65433
36	10235.31095
37	10004.34293
38	9768.017231
39	9359.884849
40	9243.421898
41	9129.989925
42	9011.880336
43	8910.246516
44	8789.121023
45	8619.71952
46	8231.782065
47	8129.883899
48	8028.63222
49	7910.454883
50	7818.722804
51	7680.659811
52	7604.250424
53	7286.310758
54	7226.860205
55	7157.496461
56	7077.900516
57	6865.15838
58	6596.161563
59	6528.599874
60	6459.507239
61	6383.627402
62	6317.38199
63	6256.168026
64	6199.563569
65	5960.374848
66	5910.409056
67	5698.336497
68	5567.379262
69	5521.739634
70	5466.092662
71	5418.265882
72	5381.532644
73	5216.163477
74	5176.037155
75	5138.496189
76	4994.788032
77	4957.283241
78	4688.8762
79	4653.694882
80	4623.070695
81	4590.19049
82	4562.193609
83	4535.433769
84	4505.513836
85	4478.034801
86	4418.376048
87	4394.208356
88	4168.950587
89	4124.009392
90	4103.638277
91	4080.842421
92	3891.863196
93	3706.603832
94	3683.988097
95	3664.7836
96	3502.388229
97	3481.885901
98	3462.31984
99	3310.069614
