iter	Passed	Remaining
0	4	490
1	13	684
2	18	595
3	25	613
4	30	580
5	34	545
6	42	567
7	46	537
8	51	516
9	58	524
10	62	503
11	68	499
12	73	494
13	78	479
14	83	474
15	89	471
16	93	458
17	101	463
18	105	449
19	109	438
20	116	438
21	120	428
22	125	420
23	132	418
24	134	402
25	136	389
26	145	393
27	149	384
28	154	379
29	170	397
30	178	397
31	182	388
32	192	390
33	196	382
34	204	380
35	211	376
36	217	370
37	224	366
38	229	358
39	238	357
40	243	350
41	249	344
42	255	338
43	257	327
44	268	328
45	272	319
46	282	318
47	290	314
48	300	312
49	310	310
50	317	304
51	325	300
52	330	292
53	334	285
54	341	279
55	346	272
56	355	268
57	361	261
58	372	258
59	375	250
60	383	245
61	389	238
62	398	234
63	403	226
64	408	220
65	415	213
66	420	207
67	438	206
68	446	200
69	449	192
70	457	187
71	462	179
72	470	174
73	476	167
74	480	160
75	488	154
76	493	147
77	506	142
78	510	135
79	533	133
80	549	128
81	573	125
82	579	118
83	581	110
84	587	103
85	613	99
86	617	92
87	625	85
88	630	77
89	636	70
90	640	63
91	645	56
92	652	49
93	657	41
94	661	34
95	669	27
96	673	20
97	677	13
98	684	6
99	689	0
